Setting,App,Model,Embedding,Classifier,Accuracy,Precision,Recall,F1_0,F1_1
LOT,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Neural Network,0.9990994033547224,1.0,0.9989324793167867,0.9971284996410624,0.9994659546061416
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Dummy,0.6762355060227401,0.8416691328795501,0.7590072057646117,0.1815594763801935,0.7982037608756666
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Threshold,0.0,,0.0,,
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Nearest Neighbors,0.8150399639761342,0.9989766331229746,0.7815585801974914,0.6273531413018825,0.8769933368271319
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,SVM RBF,0.996059889676911,0.9997989815062984,0.9955297571390446,0.9875444839857652,0.9976598020861192
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Decision Tree,0.7971406056512439,0.9986858244261432,0.7605417667467307,0.6052573932092005,0.8634951897583516
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Gaussian Naive Bayes,0.8436339074636947,0.8436339074636947,1.0,0.0,0.9151859314892836
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Random Forest,0.7973094675222335,0.9985988265172082,0.760808646917534,0.6053698630136987,0.8636346423296853
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Ensemble,0.8733535967578521,0.9987470634299138,0.8509474246063518,0.7105737072292256,0.9189422869082788
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Neural Network,0.9977485083868064,0.999799384779992,0.9975313584200692,0.9928443649373884,0.9986640838955312
LOT,claroline,DS_content_modelsize100epoch31,Content only,Dummy,0.6746031746031746,0.8414299488244456,0.7569388844408861,0.1812774394561676,0.7969512837624249
LOT,claroline,DS_content_modelsize100epoch31,Content only,Threshold,0.1778115501519757,1.0,0.1778115501519757,0.3019354838709677,0.3019354838709677
LOT,claroline,DS_content_modelsize100epoch31,Content only,Nearest Neighbors,0.9621749408983452,0.9633009708737864,0.9929943955164132,0.8680800942285041,0.9779223339246994
LOT,claroline,DS_content_modelsize100epoch31,Content only,SVM RBF,0.9794551390296072,0.977657280982557,0.998465439017881,0.930303608936414,0.9879518072289156
LOT,claroline,DS_content_modelsize100epoch31,Content only,Decision Tree,0.9353821907013397,0.949759521643052,0.9749799839871898,0.7774331136099263,0.9622045170211364
LOT,claroline,DS_content_modelsize100epoch31,Content only,Gaussian Naive Bayes,0.9831138129010468,1.0,0.9799839871897518,0.9487704918032788,0.9898908208653456
LOT,claroline,DS_content_modelsize100epoch31,Content only,Random Forest,0.9332432736688056,0.9471876620010368,0.9752468641579932,0.7679968701095462,0.9610124917817224
LOT,claroline,DS_content_modelsize100epoch31,Content only,Ensemble,0.9707306090284814,0.9731196860693264,0.9927275153456098,0.901027788351732,0.9828258141224652
LOT,claroline,DS_content_modelsize100epoch31,Content only,Neural Network,0.979173702577958,0.9773380355276908,0.998465439017881,0.9292813455657492,0.987788778877888
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Dummy,0.6782055611842845,0.8431416092975054,0.7599412863624233,0.1873489694385216,0.7993823911288908
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Threshold,0.2940448046831025,1.0,0.2940448046831025,0.454458460200087,0.454458460200087
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Nearest Neighbors,0.9048181920522346,0.9538535053587276,0.9322791566586602,0.7131467345207804,0.9429429429429428
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,SVM RBF,0.9424743892829,0.99538876276958,0.9361489191353084,0.841501240694789,0.9648604043460324
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Decision Tree,0.8834853090172239,0.9369503450142064,0.9240725914064584,0.6407497396737245,0.930466912999664
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Gaussian Naive Bayes,0.8987954519869413,1.0,0.8800373632239125,0.7555072069621974,0.9361913549577684
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Random Forest,0.8835415963075538,0.9343104955288106,0.9271417133706964,0.6351613472050784,0.9307123003248384
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Ensemble,0.9126421254080828,0.9692651578653256,0.92580731251668,0.7508028259473346,0.947037947037947
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Neural Network,0.8631655972081504,0.8611031230229482,0.9989324793167867,0.229965156794425,0.9249111969111968
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Dummy,0.6783744230552741,0.8442975942975943,0.7586736055511075,0.1924816280384397,0.7991987630025303
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Threshold,0.2577395024203535,1.0,0.2577395024203535,0.4098456030431864,0.4098456030431864
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Nearest Neighbors,0.9634132612856016,0.9777422364387578,0.9789164665065384,0.8826291079812206,0.97832899913316
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,SVM RBF,0.9987616796127434,0.999466025897744,0.9990659194021884,0.996044588277598,0.9992659325992658
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Decision Tree,0.9282899921197794,0.959399705212381,0.9554310114758472,0.7732289070843716,0.9574112455706358
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Gaussian Naive Bayes,0.9829449510300574,1.0,0.9797838270616492,0.948284690220174,0.9897886967950664
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Random Forest,0.9268828098615332,0.9573060733613952,0.955964771817454,0.7670790747713825,0.9566349524286428
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Ensemble,0.9716874929640889,0.9853246666219928,0.981051507872965,0.9105141433908558,0.9831834442178462
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Neural Network,0.998536530451424,0.9994658832955,0.9987990392313852,0.9953287818900468,0.9991323499966628
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Dummy,0.6781421108943294,0.7586819287537123,0.8439497318923586,0.1919989888137521,0.7990474992926976
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Threshold,0.540625590030839,1.0,0.540625590030839,0.7018260549859063,0.7018260549859063
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Nearest Neighbors,0.8060167411416703,0.8731271225943931,0.8706774905788801,0.6005960865621356,0.8719005860105565
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,SVM RBF,0.7985776323242495,0.883099786950271,0.8463900924680844,0.6089442815249267,0.8643553445791301
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Decision Tree,0.8076279186858834,0.8717664571617598,0.8749937745903681,0.5998481397114654,0.8733771344772447
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Gaussian Naive Bayes,0.8084460947825539,0.8715971935617004,0.876487872902037,0.6003466568622301,0.8740356918186936
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Random Forest,0.8076279186858834,0.8717664571617598,0.8749937745903681,0.5998481397114654,0.8733771344772447
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Ensemble,0.8061803763610045,0.8730179857910587,0.8710759167953251,0.6005706874189364,0.8720458700349012
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Neural Network,0.8023538296934987,0.878011102245913,0.8586250975314176,0.6049413777487044,0.8682098972671726
KIN,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Dummy,0.6771351249291963,0.7581389100353768,0.8431694805518203,0.1898294377763739,0.7983966045743928
KIN,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Threshold,0.03733400465731,1.0,0.03733400465731,0.0719806821904842,0.0719806821904842
KIN,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Nearest Neighbors,0.7763987664421927,0.7989919326453321,0.9421119909690058,0.3569825526677767,0.864669673330083
KIN,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,SVM RBF,0.7833847315753036,0.8077297173589656,0.9374636851104804,0.4012386486204377,0.8677746275422785
KIN,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Decision Tree,0.7762099565737303,0.7988232313279469,0.9421119909690058,0.3560899641447249,0.8645708757684016
KIN,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Gaussian Naive Bayes,0.7951790546919252,0.8025850321408415,0.9679598917608778,0.3742501153668666,0.8775491774904807
KIN,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Random Forest,0.7762099565737303,0.7988232313279469,0.9421119909690058,0.3560899641447249,0.8645708757684016
KIN,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Ensemble,0.7762099565737303,0.7988232313279469,0.9421119909690058,0.3560899641447249,0.8645708757684016
KIN,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Neural Network,0.783800113285921,0.8081905498060434,0.9373142752793132,0.4034454015004167,0.8679764485234208
KIN,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Dummy,0.6779658883504311,0.7577389364075865,0.8456430433122499,0.1859488354333715,0.7992813544428927
KIN,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Threshold,0.0767449178677072,1.0,0.0767449178677072,0.1425498585490168,0.1425498585490168
KIN,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Nearest Neighbors,0.795783246271005,0.7897155044168565,0.995833125819679,0.2850973825680796,0.8808775588123
KIN,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,SVM RBF,0.8190949713638366,0.8219274233171896,0.971993957202384,0.4758188051644905,0.8906839479128635
KIN,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Decision Tree,0.8016489395179055,0.7968948162388028,0.990969005760579,0.3363934978522698,0.8833984490617416
KIN,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Gaussian Naive Bayes,0.8154949965384858,0.8143422667898867,0.9801118913624516,0.4395503555861436,0.8895702748312441
KIN,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Random Forest,0.8016489395179055,0.7968948162388028,0.990969005760579,0.3363934978522698,0.8833984490617416
KIN,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Ensemble,0.8033230536849393,0.7968829025474485,0.9939572023839168,0.3356435222585994,0.8845764602462861
KIN,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Neural Network,0.8149915035559192,0.8294341478941505,0.9517074223483906,0.5023699891657638,0.8863738268627178
KIN,claroline,DS_content_modelsize100epoch31,Content only,Dummy,0.6793882560261816,0.7591460687557768,0.845360824742268,0.1933174980205859,0.7999371637277618
KIN,claroline,DS_content_modelsize100epoch31,Content only,Threshold,0.5404116055132482,1.0,0.5404116055132482,0.701645720636062,0.701645720636062
KIN,claroline,DS_content_modelsize100epoch31,Content only,Nearest Neighbors,0.810749575177796,0.9066390788053256,0.8365456447034215,0.650941425022636,0.8701831337368434
KIN,claroline,DS_content_modelsize100epoch31,Content only,SVM RBF,0.7711372647743722,0.9081979306194552,0.776665504590202,0.614297836232499,0.8372975391498881
KIN,claroline,DS_content_modelsize100epoch31,Content only,Decision Tree,0.818515954433885,0.901632159323995,0.8537941796570214,0.6535134095933867,0.8770613414280597
KIN,claroline,DS_content_modelsize100epoch31,Content only,Gaussian Naive Bayes,0.8121090062307257,0.9069224413550312,0.838222355030961,0.6526908490192885,0.8712201602953991
KIN,claroline,DS_content_modelsize100epoch31,Content only,Random Forest,0.818515954433885,0.901632159323995,0.8537941796570214,0.6535134095933867,0.8770613414280597
KIN,claroline,DS_content_modelsize100epoch31,Content only,Ensemble,0.8099439864056894,0.9066486486486488,0.8353503660540864,0.6501054387875699,0.8695404235464891
KIN,claroline,DS_content_modelsize100epoch31,Content only,Neural Network,0.7904839826294922,0.9071735475434336,0.806165645699487,0.6311193847926778,0.8536921954521082
KIN,claroline,DS_tags_modelsize100epoch31,Tags only,Dummy,0.6787085404997167,0.7590525090301203,0.8442485515546923,0.1936502922129205,0.7993869611349079
KIN,claroline,DS_tags_modelsize100epoch31,Tags only,Threshold,0.627956447857008,1.0,0.627956447857008,0.7714659058399634,0.7714659058399634
KIN,claroline,DS_tags_modelsize100epoch31,Tags only,Nearest Neighbors,0.7825036188558122,0.8415654220469436,0.8785464083536697,0.5169280662025777,0.8596583848409289
KIN,claroline,DS_tags_modelsize100epoch31,Tags only,SVM RBF,0.7845427654352067,0.8483825097760398,0.8716071517505852,0.5344466505290071,0.8598380321479164
KIN,claroline,DS_tags_modelsize100epoch31,Tags only,Decision Tree,0.7810183145572409,0.8412893151907205,0.8765542772714444,0.5152823827700538,0.8585598256896397
KIN,claroline,DS_tags_modelsize100epoch31,Tags only,Gaussian Naive Bayes,0.7795959468814904,0.8292213095806814,0.8932881783621363,0.4813695871097684,0.8600632951857297
KIN,claroline,DS_tags_modelsize100epoch31,Tags only,Random Forest,0.7810812511800617,0.8408783514997216,0.8772847253349271,0.5142984807864164,0.8586958287970622
KIN,claroline,DS_tags_modelsize100epoch31,Tags only,Ensemble,0.7831707470577128,0.8470364214365247,0.8713913375500107,0.5304219823356232,0.8590412909349785
KIN,claroline,DS_tags_modelsize100epoch31,Tags only,Neural Network,0.7853357668827491,0.8509386428281186,0.8691335889901556,0.5406701141995259,0.8599398827220315
KIN,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Dummy,0.6786959531751526,0.7587245270642954,0.8449291963411193,0.1914987964018751,0.7995098886253319
KIN,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Threshold,0.5300648247215054,1.0,0.5300648247215054,0.6928658396130178,0.6928658396130178
KIN,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Nearest Neighbors,0.8400025174649128,0.8792613636363636,0.9145707787572422,0.6468872406033837,0.896568559641314
KIN,claroline,DS_content_tags_modelsize100epoch31,Content and tags,SVM RBF,0.8015230662722639,0.8864651591260668,0.8466723110380663,0.6165369649805447,0.8661119130508618
KIN,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Decision Tree,0.8300081817609667,0.8798608401612693,0.8984843202682736,0.636385665437118,0.8890750642715751
KIN,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Gaussian Naive Bayes,0.8421801246145132,0.8789665199497879,0.9183060245364144,0.6489921612541995,0.8982057319152392
KIN,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Random Forest,0.8300081817609667,0.8798608401612693,0.8984843202682736,0.636385665437118,0.8890750642715751
KIN,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Ensemble,0.8299955944364026,0.8811353070712014,0.8967578066636784,0.6383742101317339,0.8888779187441378
KIN,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Neural Network,0.7954056265340802,0.890037777344235,0.8330926174942311,0.615471965933286,0.8606242496998799
LOT,dimeshift,DS_all_modelsize100epoch31,Ensemble,Dummy,0.716374269005848,0.9186982651094228,0.7584011981653094,0.1214704315396909,0.8308891395754282
LOT,dimeshift,DS_all_modelsize100epoch31,Ensemble,Threshold,0.2979016167870657,1.0,0.2979016167870657,0.4590511529287039,0.4590511529287039
LOT,dimeshift,DS_all_modelsize100epoch31,Ensemble,Nearest Neighbors,0.8816649466804266,0.9409646546005876,0.9295141814097164,0.3188118811881188,0.9352043699378414
LOT,dimeshift,DS_all_modelsize100epoch31,Ensemble,SVM RBF,0.924406604747162,0.9513812154696132,0.9671440606571188,0.4868651488616462,0.9591978833031612
LOT,dimeshift,DS_all_modelsize100epoch31,Ensemble,Decision Tree,0.8511351909184727,0.9391679748822606,0.8960029954132734,0.2729945401091978,0.9170778443113772
LOT,dimeshift,DS_all_modelsize100epoch31,Ensemble,Gaussian Naive Bayes,0.7288441692466461,0.9475748930099858,0.7461387250772255,0.2422494592645998,0.834878240377062
LOT,dimeshift,DS_all_modelsize100epoch31,Ensemble,Random Forest,0.8528551771585827,0.9388573664644884,0.8983431620331368,0.2722245852828583,0.9181535517818704
LOT,dimeshift,DS_all_modelsize100epoch31,Ensemble,Ensemble,0.858359133126935,0.94302804471465,0.9002152953290274,0.3065263157894736,0.921124467219003
LOT,dimeshift,DS_all_modelsize100epoch31,Ensemble,Neural Network,0.8567251461988304,0.9541654074745644,0.8866423289338201,0.3703703703703704,0.9191654536632704
LOT,dimeshift,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Dummy,0.7141382868937048,0.9215259479894604,0.7529720116072265,0.1352757544224766,0.8287657119307645
LOT,dimeshift,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Threshold,0.0,,0.0,,
LOT,dimeshift,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Nearest Neighbors,0.4733402132782938,0.9882201756264724,0.431901151361977,0.2252024291497975,0.6010943199583116
LOT,dimeshift,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,SVM RBF,0.946422428620571,0.9977241242826044,0.94383600112328,0.7474665585731658,0.9700322285824234
LOT,dimeshift,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Decision Tree,0.4683522531819745,0.9861741196802766,0.4273144247870448,0.2218026183282981,0.5962643678160919
LOT,dimeshift,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Gaussian Naive Bayes,0.9187306501547988,0.9187306501547988,1.0,0.0,0.9576442113755548
LOT,dimeshift,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Random Forest,0.4826281389748882,0.9866527632950992,0.4428531311429374,0.2265363846747235,0.611319291898178
LOT,dimeshift,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Ensemble,0.5921052631578947,0.9875246224556796,0.5631376954039128,0.268168492516587,0.7172578241430702
LOT,dimeshift,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Neural Network,0.9690402476780186,0.982879595846197,0.9834316203313676,0.8089171974522293,0.983155530600786
LOT,dimeshift,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Dummy,0.705968352253182,0.9185296151186908,0.7461387250772255,0.1222079589216944,0.8234078818242858
LOT,dimeshift,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Threshold,0.4488304093567251,1.0,0.4488304093567251,0.6195761856710393,0.6195761856710393
LOT,dimeshift,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Nearest Neighbors,0.9262985896112832,0.9618349313780786,0.9577833941776654,0.5571059431524549,0.9598048872004128
LOT,dimeshift,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,SVM RBF,0.967062263501892,0.966823785351704,0.9984086866984928,0.7514600908500974,0.9823624222887404
LOT,dimeshift,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Decision Tree,0.8741830065359477,0.9633165829145728,0.8972198820556023,0.4422417079679756,0.9290941695342412
LOT,dimeshift,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Gaussian Naive Bayes,0.9187306501547988,0.9187306501547988,1.0,0.0,0.9576442113755548
LOT,dimeshift,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Random Forest,0.8767629858961128,0.9634268537074148,0.9000280819994384,0.4473582722715002,0.930648986110439
LOT,dimeshift,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Ensemble,0.9362745098039216,0.9614741923505384,0.969484227276982,0.5885619100499723,0.965462596131438
LOT,dimeshift,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Neural Network,0.967062263501892,0.9659790083242852,0.9993447533464382,0.7481919789612098,0.9823786519438692
LOT,dimeshift,DS_content_modelsize100epoch31,Content only,Dummy,0.7166322669418644,0.9184413230629814,0.7589628381540766,0.1201602136181575,0.8311209061555022
LOT,dimeshift,DS_content_modelsize100epoch31,Content only,Threshold,0.2966116271069831,1.0,0.2966116271069831,0.4575180738873781,0.4575180738873781
LOT,dimeshift,DS_content_modelsize100epoch31,Content only,Nearest Neighbors,0.8755589955280357,0.9461835748792272,0.9166900683328651,0.3490778227620333,0.9312033471211904
LOT,dimeshift,DS_content_modelsize100epoch31,Content only,SVM RBF,0.891640866873065,0.9488425264361248,0.9323223813535524,0.3930635838150289,0.9405099150141644
LOT,dimeshift,DS_content_modelsize100epoch31,Content only,Decision Tree,0.8538011695906432,0.9429924055626788,0.8949733221005336,0.3015612161051767,0.9183555854384784
LOT,dimeshift,DS_content_modelsize100epoch31,Content only,Gaussian Naive Bayes,0.7168042655658755,0.9465796470872612,0.7331273986707854,0.2340079088160037,0.8262910798122065
LOT,dimeshift,DS_content_modelsize100epoch31,Content only,Random Forest,0.8555211558307534,0.9424078624078625,0.8975943087147805,0.2994161801501251,0.91945536484802
LOT,dimeshift,DS_content_modelsize100epoch31,Content only,Ensemble,0.8570691434468525,0.9468938868522738,0.8945988954413554,0.3298387096774194,0.9200038505968424
